11:59:11,AM,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
11:59:21,AM,15986688,18577536,2142656,6.95,12992,11186944,24581056,79.69,9296640,2505024,6080
11:59:31,AM,15986112,18584384,2136064,6.92,12992,11194368,24581056,79.69,9296640,2512448,3712
11:59:41,AM,15963136,18570240,2149888,6.97,12992,11203200,24581056,79.69,9296768,2521280,2752
11:59:51,AM,15959744,18576192,2144448,6.95,12992,11212544,24581056,79.69,9296896,2530624,3392
12:00:01,PM,15950784,18576640,2142656,6.95,12992,11221952,24581056,79.69,9296896,2540032,12416
12:00:11,PM,15940224,18578560,2141248,6.94,12992,11234496,24581056,79.69,9296896,2552512,10176
12:00:21,PM,15929472,18575744,2142464,6.95,12992,11242432,24597568,79.74,9307264,2560448,40832
12:00:31,PM,15912704,18576192,2143616,6.95,12992,11259584,24581056,79.69,9296896,2577664,13504
12:00:41,PM,15916864,18590272,2128448,6.90,12992,11269504,24581056,79.69,9296896,2587584,47744
12:00:51,PM,15913856,18597760,2120768,6.88,12992,11280000,24581056,79.69,9296896,2598080,94656
12:01:01,PM,15897472,18590208,2127296,6.90,12992,11288832,24581056,79.69,9296192,2606912,135808
12:01:11,PM,15898176,18600320,2117056,6.86,12992,11298240,24581056,79.69,9296896,2616320,132864
12:01:21,PM,15885440,18597632,2119424,6.87,12992,11308288,24597568,79.74,9307264,2626368,126272
12:01:31,PM,15872768,18595136,2121792,6.88,12992,11318464,24581056,79.69,9293696,2636544,135744
12:01:41,PM,15877952,18609728,2108352,6.83,12992,11327872,24581056,79.69,9296896,2645952,127360
12:01:51,PM,15872128,18612032,2105088,6.82,12992,11336000,24585600,79.70,9296896,2654080,75008
12:02:01,PM,15859712,18611072,2105792,6.83,12992,11347456,24581056,79.69,9296896,2665536,75008
12:02:11,PM,15854720,18615936,2101248,6.81,12992,11357312,24581056,79.69,9296896,2675392,67200
12:02:21,PM,15845504,18614336,2102592,6.82,12992,11364928,24590656,79.72,9300288,2683008,73280
12:02:31,PM,15839424,18617536,2099520,6.81,12992,11374208,24581056,79.69,9296896,2692288,45312
12:02:41,PM,15834560,18622272,2094016,6.79,12992,11383744,24590528,79.72,9297728,2701824,38912
12:02:51,PM,15825792,18621632,2094336,6.79,12992,11391808,24581056,79.69,9296896,2709888,7296
12:03:01,PM,15813760,18619072,2097536,6.80,12992,11401216,24581056,79.69,9296896,2719296,7296
12:03:11,PM,15813504,18626880,2090816,6.78,12992,11409216,24581056,79.69,9296896,2727296,4672
12:03:21,PM,15796096,18617600,2099904,6.81,12992,11417344,24597568,79.74,9307264,2735424,3712
12:03:31,PM,15787008,18618240,2098816,6.80,12992,11427072,24581056,79.69,9296896,2745152,3968
12:03:41,PM,15781952,18622464,2094528,6.79,12992,11436352,24581056,79.69,9296896,2754432,3200
