03:08:17,PM,kbmemfree,kbavail,kbmemused,%memused,kbbuffers,kbcached,kbcommit,%commit,kbactive,kbinact,kbdirty
03:08:27,PM,25518912,27438408,1088204,3.33,3124,5856832,22730684,69.63,4045252,2123640,7112
03:08:37,PM,25489744,27413732,1112968,3.41,3124,5861324,22730684,69.63,4045284,2128132,11664
03:08:47,PM,25484996,27410808,1115772,3.42,3124,5863156,22730684,69.63,4045284,2129956,1004
03:08:57,PM,25467268,27397748,1128748,3.46,3124,5867804,22730684,69.63,4045292,2134612,4528
03:09:07,PM,25464684,27399964,1125996,3.45,3124,5872604,22730684,69.63,4045292,2139412,9260
03:09:17,PM,25462884,27399776,1125916,3.45,3124,5874540,22730684,69.63,4045292,2141024,9028
03:09:27,PM,25452120,27394548,1131356,3.47,3124,5879748,22730684,69.63,4045584,2146556,4268
03:09:37,PM,25450112,27394940,1131032,3.46,3124,5882160,22730684,69.63,4045300,2148952,6808
03:09:47,PM,25449380,27395568,1130464,3.46,3124,5883504,22730684,69.63,4045300,2150312,7632
03:09:57,PM,25444868,27396036,1129932,3.46,3124,5888476,22730684,69.63,4045296,2155284,1944
03:10:07,PM,25442096,27396772,1129224,3.46,3124,5891984,22730684,69.63,4045300,2158792,5364
03:10:17,PM,25443036,27399212,1126732,3.45,3124,5893488,22730684,69.63,4045300,2160288,7036
03:10:27,PM,25422272,27383808,1141948,3.50,3124,5898836,22769288,69.74,4056240,2165640,1872
03:10:37,PM,25417808,27383320,1142480,3.50,3124,5902808,22731972,69.63,4049016,2169616,5828
03:10:47,PM,25420228,27387348,1138448,3.49,3124,5904416,22730684,69.63,4048184,2171224,6892
03:10:57,PM,25415360,27388400,1137304,3.48,3124,5910336,22730684,69.63,4048184,2177144,1032
03:11:07,PM,25411324,27388792,1136912,3.48,3124,5914756,22730684,69.63,4048184,2181564,5244
03:11:17,PM,25413752,27391276,1134380,3.47,3124,5914812,22730684,69.63,4048184,2181620,5260
03:11:27,PM,25406184,27388520,1137128,3.48,3124,5919620,22735040,69.64,4049312,2186428,4848
03:11:37,PM,25402280,27389152,1136568,3.48,3124,5924156,22730684,69.63,4048184,2190964,1012
03:11:47,PM,25405156,27392036,1133500,3.47,3124,5924156,22730684,69.63,4048184,2190964,892
03:11:57,PM,25399984,27392048,1133556,3.47,3124,5929332,22730684,69.63,4048184,2196140,5568
03:12:07,PM,25398260,27393592,1131860,3.47,3124,5932596,22730684,69.63,4048184,2199404,8860
03:12:17,PM,25398892,27396000,1129700,3.46,3124,5934372,22730684,69.63,4048184,2201180,10716
